MSU	logFC	adj.p.value	RAP	Name	Description	Type	SYMBOL	ENTREZ	RAP.description	RAP.name	RAP.synonym	CGSNL.symbol	CGSNL.name	Oryzabase.name	Oryzabase.synonym	Oryzabase.protein	AM_gene_description	AM_gene_otherinfo	NCBI.Name	GO.term	GO.name
LOC_Os07g44440	4.703531409628217	0	Os07g0638400	Os1-Cys	Similar to 1-Cys peroxiredoxin	protein_coding	LOC4344046	4344046	1 Cys-peroxiredoxin B, Root development	Os1-CysPrxB	1 Cys-peroxiredoxin B	1CYSPRXB	1-CYS PEROXIREDOXIN B	Os1-Cys Prx B, 1-Cys Prx B, Os1-CysPrxB, 1-CysPrxB	peroxiredoxin, 1 Cys-peroxiredoxin B	1-CYS PEROXIREDOXIN B	NA	NA	1-Cys peroxiredoxin B-like	GO:0042744, GO:0016209, GO:0051920, GO:0004601, GO:0005634, GO:0005829, GO:0045454, GO:0016491, GO:0006979, GO:0034599, GO:0005739, GO:0005737, GO:0098869, GO:0008379, GO:0140824, GO:0055114, GO:0006952, GO:0048364	NA
LOC_Os08g05480	3.4660277340059458	5.837232739424355e-246	Os08g0150700	OsFbox407	Cyclin-like F-box domain containing protein	protein_coding	LOC4344662	4344662	Cyclin-like F-box domain containing protein.	NA	NA	NA	NA	OsFbox407, Os_F0406, OsFBX261, FBX261	F-box protein 407, F-box-type E3 ubiquitin ligase X261	NA	NA	NA	F-box protein PP2-B10	GO:0005515	protein binding
LOC_Os04g27070	5.714582446571553	2.556814482716697e-173	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC_Os05g15630	1.6517058062879093	7.113172700243529e-151	Os05g0245300	OsBLE3	Uncharacterised protein family UPF0497, trans-membrane plant subgroup domain containing protein	protein_coding	LOC4338204	4338204	Uncharacterised protein family UPF0497, trans-membrane plant subgroup domain containing protein.	NA	NA	BLE3	BRASSINOLIDE ENHANCED GENE 3	OsBLE3	brassinolide-enhanced 3, BL-enhanced 3, UPF0497 membrane protein BLE3, Protein brassinolide-enhanced 3, Protein BL-enhanced 3	UPF0497 MEMBRANE PROTEIN BLE3	NA	NA	CASP-like protein BLE3	GO:0003824, GO:0009733, GO:0009741, GO:0005886, GO:0016021, GO:0007275, GO:0051539, GO:0035264, GO:0009826, GO:0016020, GO:0016023	NA
LOC_Os01g66120	1.4558960467467237	6.091691581904406e-147	Os01g0884300	OsNAC6	No apical meristem (NAM) protein domain containing protein	protein_coding	LOC4325006	4325006	NAC transcription factor, Drought tolerance, Response to abiotic and biotic stresses	OsNAC6	NAC transcription factor 6	NAC6	NAC DOMAIN-CONTAINING PROTEIN 6	OsNAC6, ONAC048, NAC48, SNAC2, SNAC2/OsNAC6, OsNAC6/ONAC048, OsSNAC2, SNAC-2, OsSNAC-2	NAC 6, OsNac gene-6, O. sativa gene with the NAC domain 6, OsNAC6 protein, NAC domain-containing protein 48, stress-responsive NAC transcription factor SNAC2, stress-responsive NAC transcription factor 2	NAC DOMAIN-CONTAINING PROTEIN 6	NA	NA	NAC domain-containing protein 48-like	GO:0043565, GO:0005634, GO:0048364, GO:0009409, GO:1902584, GO:1900150, GO:0040008, GO:0045893, GO:1901002, GO:0003677, GO:0006355, GO:0005515, GO:0004812, GO:0006350, GO:0009414, GO:0009609, GO:0009611, GO:0009651, GO:0009737, GO:0009751, GO:0009753, GO:0009788, GO:0030418, GO:0030912, GO:0045449, GO:0050832	NA
LOC_Os12g25630	2.8332054998507763	5.46099199018602e-144	Os12g0442800	NA	Similar to Sulfite oxidase (EC 1.8.3.1) (Moco containig protein AtMCP) (At-SO) (AtSOX)	protein_coding	LOC4352143	4352143	Similar to Sulfite oxidase (EC 1.8.3.1) (Moco containig protein AtMCP) (At-SO) (AtSOX).	NA	NA	NA	NA	NA	NA	NA	NA	NA	sulfite oxidase	GO:0042128, GO:0043546, GO:0006790, GO:0016491, GO:0030151, GO:0020037, GO:0005739, GO:0008482, GO:0046872, GO:0005488, GO:0009055, GO:0055114	NA
LOC_Os01g10400	4.126955151784737	1.5920428740982416e-137	Os01g0200700	OsMT3a	Similar to Metallothionein-like protein type 3 (MT-3) (MWMT3)	protein_coding	NA	NA	Metallothionein-like protein, Tolerance to salinity and heavy metal stresses, Abiotic stress response	OsMT-3a	MT-like type 3, metallothionein-like type 3	MTI3A	METALLOTHIONEIN I-3A	OsMT3a, MT3a, OsMT-I-3a, MT-I-3a, MTe, met2, OsMT3, MT3, OsMTI-3a, MTI-3a	Metallothionein 3a, type 3 metallothionein a, metallothionein 2	METALLOTHIONEIN I-3A	NA	NA	NA	GO:0005507, GO:0008270, GO:0006878, GO:0005623, GO:0046872, GO:0010038	NA
LOC_Os12g29220	1.4105312371508205	1.8394913496003788e-108	Os12g0476200	SWEET13	Sucrose transporter, TAL effector PthXo2-dependent disease susceptibility to bacterial pathoge	protein_coding	LOC4352201	4352201	Sucrose transporter, TAL effector PthXo2-dependent disease susceptibility to bacterial pathogen	SWEET13, OsSWEET13	SWEET13	SWEET13	SWEET13	OsSWEET13, Xa25(t), Xa25, OsMtN3, Xa25/SWEET13, OsSWEET13/XA25	Xanthomonas oryzae pv. oryzae resistance 25, Xanthomonas oryzae pv. oryzae resistance-25, Xanthomonas campestris pv. oryzae resistance-25, nodulin MtN3 family protein, nodulin/SWEET13	SUGAR TRANSPORTER SWEET13	NA	NA	bidirectional sugar transporter SWEET13-like	GO:0051119, GO:0005887, GO:0016020, GO:0016021, GO:0005886, GO:0008643, GO:0034219, GO:0009414, GO:0042742	sugar transmembrane transporter activity, integral component of plasma membrane, membrane, integral component of membrane, plasma membrane, carbohydrate transport, carbohydrate transmembrane transport, response to water deprivation, defense response to bacterium
LOC_Os03g17350	1.800837690272786	9.32209423322882e-106	Os03g0281900	ABCG5	ATP-binding cassette (ABC) transporter, Hypodermal suberization of roots, Salt stress toleranc	protein_coding	LOC4332449	4332449	ATP-binding cassette (ABC) transporter, Hypodermal suberization of roots, Salt stress tolerance	ABCG5, OsABCG5, RCN1/OsABCG5	ABC TRANSPORTER G FAMILY MEMBER 5, ATP-binding cassette protein subfamily G member 5, ABC transporter superfamily ABCG subgroup member 5	ABCG5	ABC TRANSPORTER G FAMILY MEMBER 5	OsABCG5	ATP-binding cassette protein subfamily G member 5, ABC transporter superfamily ABCG subgroup member 5	ABC TRANSPORTER G FAMILY MEMBER 5	NA	NA	ABC transporter G family member 5-like	GO:0055085, GO:0055075, GO:0009733, GO:0010345, GO:0009739, GO:0042626, GO:0009408, GO:0071470, GO:0005524, GO:0009737, GO:0005886, GO:0071472, GO:0016021, GO:0007275, GO:0071456, GO:0009751, GO:0048226, GO:0048225, GO:0055078, GO:1902074, GO:2000032, GO:0009753, GO:1901002, GO:0016020, GO:0000166, GO:0140359, GO:0016887	transmembrane transport, potassium ion homeostasis, response to auxin, suberin biosynthetic process, response to gibberellin, ATPase-coupled transmembrane transporter activity, response to heat, cellular response to osmotic stress, ATP binding, response to abscisic acid, plasma membrane, cellular response to salt stress, integral component of membrane, multicellular organism development, cellular response to hypoxia, response to salicylic acid, Casparian strip, suberin network, sodium ion homeostasis, response to salt, regulation of secondary shoot formation, response to jasmonic acid, positive regulation of response to salt stress, membrane, nucleotide binding, ABC-type transporter activity, ATP hydrolysis activity
LOC_Os04g40730	1.7309052042390276	7.504676662859235e-103	Os04g0483500	KCR1	Beta-ketoacyl-CoA reductase, Cuticular wax biosynthesis, Fatty acid elongatio	protein_coding	LOC4336202	4336202	Beta-ketoacyl-CoA reductase, Cuticular wax biosynthesis, Fatty acid elongation	KCR1, OsKCR1, WSL3	beta-ketoacyl-CoA reductase 1, Wax crystal-sparse leaf 3	KCR1	BETA-KETOACYL-COA REDUCTASE 1	OsKCR1, OsWSL3, WSL3	beta-ketoacyl-CoA reductase 1, Wax crystal-sparse leaf 3	BETA-KETOACYL-COA REDUCTASE 1	NA	NA	very-long-chain 3-oxoacyl-CoA reductase 1	GO:0005783, GO:0045703, GO:0016491	endoplasmic reticulum, ketoreductase activity, oxidoreductase activity
LOC_Os03g47034	2.2204083595976014	3.164116211781906e-102	Os03g0673400	NA	Conserved hypothetical protein	protein_coding	NA	NA	Conserved hypothetical protein.	NA	NA	NA	NA	NA	NA	NA	Expressed protein	Medtr5g018610, (ref.23) Medicago homolog	NA	NA	NA
LOC_Os03g22020	2.0390514707057217	3.627935846241255e-102	Os03g0339400	prx40	Haem peroxidase, plant/fungal/bacterial family protein	protein_coding	LOC9272450	9272450	Haem peroxidase, plant/fungal/bacterial family protein.	NA	NA	NA	NA	prx40	class III peroxidase 40	NA	NA	NA	peroxidase P7	GO:0042744, GO:0005576, GO:0098869, GO:0004601, GO:0046872, GO:0020037, GO:0006979, GO:0016491, GO:0140825, GO:0055114	NA
