RAP	MSU	Name	Description	Type	SYMBOL	ENTREZ	RAP.description	RAP.name	RAP.synonym	CGSNL.symbol	CGSNL.name	Oryzabase.name	Oryzabase.synonym	Oryzabase.protein	AM_gene_description	AM_gene_otherinfo	NCBI.Name	GO.term	GO.name	ATG
Os06g0527300	LOC_Os06g33600	OsCNGC13	Similar to cDNA clone:J023078M02, full insert sequence	protein_coding	LOC4341190	NA	Similar to cDNA clone:J023078M02, full insert sequence.	NA	NA	CNGC13	CYCLIC NUCLEOTIDE GATED CHANNEL 13	OsCNGC13, OsCNGC1	Cyclic nucleotide gated channel 13	NA	NA	NA	cyclic nucleotide-gated ion channel 1	GO:0055085, GO:0005216, GO:0034220, GO:0016021, GO:0006811, GO:0016020, GO:0005221, GO:0006813, GO:0006816	transmembrane transport, ion channel activity, ion transmembrane transport, integral component of membrane, ion transport, membrane, intracellular cyclic nucleotide activated cation channel activity, potassium ion transport, calcium ion transport	AT1G01340
Os06g0527100	LOC_Os06g33570	OsCNGC12	Similar to Cyclic nucleotide-gated channel A (Fragment)	protein_coding	LOC4341189	4341189	Similar to Cyclic nucleotide-gated channel A (Fragment).	NA	NA	CNGC12	CYCLIC NUCLEOTIDE GATED CHANNEL 12	OsCNGC12, OsCNGC2	Cyclic nucleotide gated channel 12, Cyclic nucleotide-gated ion channel 2	NA	NA	NA	cyclic nucleotide-gated ion channel 1	GO:0055085, GO:0005249, GO:0006813, GO:0005216, GO:0034220, GO:0016021, GO:0006811, GO:0016020, GO:0071805, GO:0005886, GO:0009409, GO:0009735, GO:0034765, GO:0042742	transmembrane transport, voltage-gated potassium channel activity, potassium ion transport, ion channel activity, ion transmembrane transport, integral component of membrane, ion transport, membrane, potassium ion transmembrane transport, plasma membrane, response to cold, response to cytokinin, regulation of ion transmembrane transport, defense response to bacterium	AT1G01340
Os10g0533600	LOC_Os10g38950	OsMPK6	Similar to Mitogen-activated protein kinase homolog MMK2 (EC 2.7.1.37)	protein_coding	LOC4349225	4349225	Mitogen-activated protein kinase (MAPK), Regulation of salt stress tolerance	OsMPK4	MAP kinase 4	MPK6	MITOGEN-ACTIVATED PROTEIN KINASE 6	OsMPK6, OsDR6, DR6, OsMPK4, MPK4, OsMAPK4, MAPK4	mitogen-activated protein kinase 6, MAP kinase 4	MITOGEN-ACTIVATED PROTEIN KINASE 6	NA	NA	mitogen-activated protein kinase 6-like	GO:0035556, GO:0010468, GO:0004707, GO:0005524, GO:0005634, GO:0005737, GO:0016740, GO:0000166, GO:0004672, GO:0006468, GO:0004674, GO:0016301, GO:0016310, GO:0000165, GO:0106310, GO:0002213, GO:0002237, GO:0002238, GO:0006972, GO:0009409, GO:0009411, GO:0009414, GO:0009416, GO:0009611, GO:0009620, GO:0009651, GO:0009734, GO:0009737, GO:0009751, GO:0009861, GO:0009863, GO:0009867, GO:0031348, GO:0042539, GO:0042542, GO:0042742, GO:0043069, GO:0043622, GO:0048316, GO:0050832, GO:0080026	intracellular signal transduction, regulation of gene expression, MAP kinase activity, ATP binding, nucleus, cytoplasm, transferase activity, nucleotide binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, kinase activity, phosphorylation, MAPK cascade, protein serine kinase activity, defense response to insect, response to molecule of bacterial origin, response to molecule of fungal origin, hyperosmotic response, response to cold, response to UV, response to water deprivation, response to light stimulus, response to wounding, response to fungus, response to salt stress, auxin-activated signaling pathway, response to abscisic acid, response to salicylic acid, jasmonic acid and ethylene-dependent systemic resistance, salicylic acid mediated signaling pathway, jasmonic acid mediated signaling pathway, negative regulation of defense response, hypotonic salinity response, response to hydrogen peroxide, defense response to bacterium, negative regulation of programmed cell death, cortical microtubule organization, seed development, defense response to fungus, response to indolebutyric acid	AT1G01560
Os08g0157000	LOC_Os08g06060	OsMAPK2	Similar to Mitogen-activated protein kinase 4	protein_coding	LOC4344698	4344698	Similar to Mitogen-activated protein kinase 4.	NA	NA	MAPK2	MITOGEN-ACTIVATED PROTEIN KINASE 2	OsMAPK2, MPK2	Mitogen-activated protein kinase 2, MAP kinase 2	MITOGEN-ACTIVATED PROTEIN KINASE 2	NA	NA	mitogen-activated protein kinase 2	GO:0004713, GO:0035556, GO:0010468, GO:0004707, GO:0005524, GO:0005634, GO:0005737, GO:0016740, GO:0000166, GO:0004672, GO:0006468, GO:0004674, GO:0016301, GO:0016310, GO:0000165, GO:0018108, GO:0106310, GO:0016772	protein tyrosine kinase activity, intracellular signal transduction, regulation of gene expression, MAP kinase activity, ATP binding, nucleus, cytoplasm, transferase activity, nucleotide binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, kinase activity, phosphorylation, MAPK cascade, peptidyl-tyrosine phosphorylation, protein serine kinase activity, transferase activity, transferring phosphorus-containing groups	AT1G01560
Os01g0287600	LOC_Os01g18400	Cht10	Similar to Chitinase 10	protein_coding	LOC4325148	4325148	Similar to Chitinase 10.	NA	NA	CHT10	CHITINASE 10	Cht10	Chitinase10, Chitinase 10, Pathogenesis related (PR)-3 chitinase 10, Pathogenesis related-3 chitinase 10, PR-3 chitinase 10	CHITINASE 10	NA	NA	chitinase 10-like	GO:0006032, GO:0004568, GO:0016998, GO:0000272, GO:0030247, GO:0005975, GO:0016787, GO:0016798, GO:0008152	chitin catabolic process, chitinase activity, cell wall macromolecule catabolic process, polysaccharide catabolic process, polysaccharide binding, carbohydrate metabolic process, hydrolase activity, hydrolase activity, acting on glycosyl bonds, metabolic process	AT1G02360
Os05g0138200	LOC_Os05g04690	NA	Similar to Chitinase (Class II) (EC 3.2.1.14)	protein_coding	LOC4337749	4337749	Similar to Chitinase (Class II) (EC 3.2.1.14).	NA	NA	NA	NA	NA	NA	NA	NA	NA	chitinase 10-like	GO:0006032, GO:0004568, GO:0016998, GO:0030247, GO:0005975, GO:0016787, GO:0016798, GO:0008152, GO:0000272	chitin catabolic process, chitinase activity, cell wall macromolecule catabolic process, polysaccharide binding, carbohydrate metabolic process, hydrolase activity, hydrolase activity, acting on glycosyl bonds, metabolic process, polysaccharide catabolic process	AT1G02360
Os01g0332200	LOC_Os01g22910	GA2OX2	GA 2-oxidase2, GA metabolis	protein_coding	LOC9266994	9266994	GA 2-oxidase2, GA metabolism	GA2OX2, OsGA2ox2, ga2ox 2, OsGA2ox-2	GIBBERELLIN 2-OXIDASE 2, rice GA 2-oxidase2, GA 2-oxidase 2, Gibberellin 2-oxidase 2	GA2OX2	GIBBERELLIN 2-OXIDASE 2	OsGA2ox2, ga2ox 2, OsGA2ox-2	rice GA 2-oxidase2, GA 2-oxidase 2, Gibberellin 2-oxidase 2	GIBBERELLIN 2-OXIDASE 2	NA	NA	gibberellin 2-beta-dioxygenase 2-like	GO:0046872, GO:0052634, GO:0045487, GO:0051213, GO:0005506, GO:0016491, GO:0016706, GO:0055114, GO:0009409, GO:0009651, GO:0009685, GO:0009725	NA	AT1G02400
Os05g0158600	LOC_Os05g06670, LOC_Os05g06670	GA2OX1, GA2OX1	Similar to OsGA2ox1, Similar to OsGA2ox1	protein_coding, protein_coding	LOC4337874, LOC4337874	4337874, 4337874	Similar to OsGA2ox1., GA 2-oxidase1, GA metabolism	NA	NA	GA2OX1, GA2OX1	GIBBERELLIN 2-OXIDASE 1, GIBBERELLIN 2-OXIDASE 1	OsGA2ox1, ga2ox-1, OsGA2ox-1, ga2ox, ga2ox 1, GA2ox1, OsGA2ox1, ga2ox-1, OsGA2ox-1, ga2ox, ga2ox 1, GA2ox1	rice GA 2-oxidase1, GA 2-oxidase 1, Gibberellin 2-oxidase 1, rice GA 2-oxidase1, GA 2-oxidase 1, Gibberellin 2-oxidase 1	GIBBERELLIN 2-OXIDASE 1, GIBBERELLIN 2-OXIDASE 1	NA	NA	gibberellin 2-beta-dioxygenase 1-like, gibberellin 2-beta-dioxygenase 1-like	GO:0046872, GO:0009685, GO:0102924, GO:0102652, GO:0102111, GO:0052634, GO:0045543, GO:0045487, GO:0051213, GO:0016491, GO:0016706, GO:0055114, GO:0005506, GO:0009409, GO:0009651, GO:0009725, GO:0009739, GO:0016216, GO:0017000, GO:0046872, GO:0009685, GO:0102924, GO:0102652, GO:0102111, GO:0052634, GO:0045543, GO:0045487, GO:0051213, GO:0016491, GO:0016706, GO:0055114, GO:0005506, GO:0009409, GO:0009651, GO:0009725, GO:0009739, GO:0016216, GO:0017000	NA	AT1G02400
Os09g0511600	LOC_Os09g33680, LOC_Os09g33680, LOC_Os09g33680	Os9bglu31, Os9bglu31, Os9bglu31	Glycoside hydrolase, family 1 protein, Glycoside hydrolase, family 1 protein, Glycoside hydrolase, family 1 protein	protein_coding, protein_coding, protein_coding	LOC4347545, LOC4347545, LOC4347545	4347545, 4347545, 4347545	Transglucosidase, Non-protein coding transcript., Glycoside hydrolase, family 1 protein.	NA	NA	BGLU31, BGLU31, BGLU31	BETA-GLUCOSIDASE 31, BETA-GLUCOSIDASE 31, BETA-GLUCOSIDASE 31	Os9bglu31, Os9BGlu31, Os9bglu31, Os9BGlu31, Os9bglu31, Os9BGlu31	beta-glucosidase 31, beta-glucosidase 31, beta-glucosidase 31	BETA-GLUCOSIDASE 31, BETA-GLUCOSIDASE 31, BETA-GLUCOSIDASE 31	NA	NA	beta-glucosidase 31-like, beta-glucosidase 31-like, beta-glucosidase 31-like	GO:0005975, GO:0008422, GO:0004553, GO:0016787, GO:0004565, GO:0033907, GO:0003824, GO:0043169, GO:0005975, GO:0008422, GO:0004553, GO:0016787, GO:0004565, GO:0033907, GO:0003824, GO:0043169, GO:0005975, GO:0008422, GO:0004553, GO:0016787, GO:0004565, GO:0033907, GO:0003824, GO:0043169	carbohydrate metabolic process, beta-glucosidase activity, hydrolase activity, hydrolyzing O-glycosyl compounds, hydrolase activity, beta-galactosidase activity, beta-D-fucosidase activity, catalytic activity, cation binding, carbohydrate metabolic process, beta-glucosidase activity, hydrolase activity, hydrolyzing O-glycosyl compounds, hydrolase activity, beta-galactosidase activity, beta-D-fucosidase activity, catalytic activity, cation binding, carbohydrate metabolic process, beta-glucosidase activity, hydrolase activity, hydrolyzing O-glycosyl compounds, hydrolase activity, beta-galactosidase activity, beta-D-fucosidase activity, catalytic activity, cation binding	AT1G02850
Os09g0511900	LOC_Os09g33710	Os9bglu33	Similar to Beta-glucosidase 32	protein_coding	LOC4347547	4347547	Glycosyl hydrolase family 1 (GH1) beta-glucosidase, Seed germination, Root elongation, Drought tolerance	Os9BGlu33	&beta;-Glucosidase 33, beta-glucosidase 33	BGLU33	BETA-GLUCOSIDASE 33	Os9bglu33, Os9Bglu33, 9bglu33	beta-glucosidase 33	BETA-GLUCOSIDASE 33	NA	NA	probable inactive beta-glucosidase 33	GO:0005975, GO:0008422, GO:0004553, GO:0016787, GO:0004565, GO:0033907	carbohydrate metabolic process, beta-glucosidase activity, hydrolase activity, hydrolyzing O-glycosyl compounds, hydrolase activity, beta-galactosidase activity, beta-D-fucosidase activity	AT1G02850
