MSU	Gene description	LFC	FDR	RAP
ChrSy.fgenesh.gene.21	ChrSy.fgenesh.gene.21	-0.967562642	0.037682406	NA
ChrSy.fgenesh.gene.22	ChrSy.fgenesh.gene.22	1.527193429	2.60104e-4	NA
ChrSy.fgenesh.gene.25	ChrSy.fgenesh.gene.25	-0.970791135	0.032835081	NA
ChrSy.fgenesh.gene.27	ChrSy.fgenesh.gene.27	-5.025937024	0.014591197	NA
ChrSy.fgenesh.gene.32	ChrSy.fgenesh.gene.32	6.462819978	2.78e-43	NA
ChrSy.fgenesh.gene.36	ChrSy.fgenesh.gene.36	0.919208643	1.16e-5	NA
ChrSy.fgenesh.gene.77	ChrSy.fgenesh.gene.77	1.232386934	0.036018275	NA
ChrSy.fgenesh.gene.82	ChrSy.fgenesh.gene.82	6.114108008	9.37e-8	NA
ChrSy.fgenesh.gene.86	ChrSy.fgenesh.gene.86	0.976715804	0.048176006	NA
ChrUn.fgenesh.gene.13	ChrUn.fgenesh.gene.13	1.371477811	1.81e-5	NA
ChrUn.fgenesh.gene.17	ChrUn.fgenesh.gene.17	4.690022727	4.14e-42	NA
ChrUn.fgenesh.gene.21	ChrUn.fgenesh.gene.21	-1.277323234	0.021196498	NA
ChrUn.fgenesh.gene.45	ChrUn.fgenesh.gene.45	1.318885914	2.57028e-4	NA
ChrUn.fgenesh.gene.75	ChrUn.fgenesh.gene.75	-0.901491243	0.029361714	NA
LOC_Os01g01160	heat shock protein DnaJ, putative, expressed	-0.979572513	0.013691598	Os01g0101700
LOC_Os01g01180	expressed protein	3.984197495	4.03e-71	Os01g0101900
LOC_Os01g01190	phosphoesterase family protein, putative, expressed	1.303712324	0.004644741	Os01g0102000
LOC_Os01g01295	expressed protein	0.60374718	0.001190268	Os01g0102500
LOC_Os01g01302	shikimate kinase, putative, expressed	1.572396349	4.65e-8	Os01g0102600
LOC_Os01g01520	transferase family protein, putative, expressed	-0.693192027	6.69981e-4	Os01g0104900
LOC_Os01g01580	expressed protein	1.364158297	0.02660745	NA
LOC_Os01g01620	kinase, pfkB family, putative, expressed	1.096662578	3.37e-7	Os01g0105900
LOC_Os01g01710	1-deoxy-D-xylulose 5-phosphate reductoisomerase, chloroplast precursor, putative, expressed	2.338435022	2.87e-24	Os01g0106900
LOC_Os01g01870	helix-loop-helix DNA-binding domain containing protein, expressed	2.708665582	1.14e-44	Os01g0108600
LOC_Os01g02000	phosphate transporter 1, putative, expressed	-0.948526657	1.23e-7	Os01g0110100
LOC_Os01g02040	retrotransposon protein, putative, unclassified, expressed	1.26865138	8.7e-11	Os01g0110500
LOC_Os01g02060	TOO MANY MOUTHS precursor, putative, expressed	-1.881946651	1.42e-6	Os01g0110800
LOC_Os01g02110	helix-loop-helix DNA-binding domain containing protein, expressed	-1.937108095	2.07e-5	Os01g0111500
LOC_Os01g02130	expressed protein	2.004770185	6.63e-8	Os01g0111700
LOC_Os01g02139	expressed protein	-0.890826826	0.002101956	Os01g0111800
LOC_Os01g02290	Ser/Thr receptor-like kinase, putative, expressed	1.792712871	7.78e-22	Os01g0113200
LOC_Os01g02300	receptor kinase ORK10, putative, expressed	2.371716233	9.76e-15	Os01g0113300
LOC_Os01g02420	protein kinase domain containing protein, expressed	1.830989291	2.21631e-4	NA
LOC_Os01g02590	receptor-like kinase, putative, expressed	-0.863719323	1.23e-6	Os01g0115800
LOC_Os01g02680	protein kinase domain containing protein, expressed	2.549133527	0.011078233	Os01g0116200
LOC_Os01g02710	LRk-type protein, putative, expressed	-1.551452601	0.025647984	Os01g0116900
LOC_Os01g02880	fructose-bisphospate aldolase isozyme, putative, expressed	0.592910869	0.0245781	Os01g0118000
LOC_Os01g02910	glycosyltransferase, putative, expressed	-1.675325121	3.42e-5	Os01g0118600
LOC_Os01g03030	alanyl-tRNA synthetase, putative, expressed	1.260741689	1.12e-9	Os01g0120400
LOC_Os01g03080	expressed protein	1.305834766	3.27e-5	Os01g0121000
LOC_Os01g03100	protein binding protein, putative, expressed	-1.016812232	2.00963e-4	Os01g0121200
LOC_Os01g03130	expressed protein	4.041339847	7.32e-111	Os01g0121500
LOC_Os01g03330	BBTI3 - Bowman-Birk type bran trypsin inhibitor precursor, expressed	1.645622102	0.001423762	Os01g0124100
LOC_Os01g03360	BBTI5 - Bowman-Birk type bran trypsin inhibitor precursor, expressed	-0.60420501	0.007118903	Os01g0124401
LOC_Os01g03370	senescence-induced receptor-like serine/threonine-protein kinase precursor, putative, expressed	6.341742274	6.61e-24	Os01g0124500
LOC_Os01g03490	heavy-metal-associated domain-containing protein, putative, expressed	-0.654811998	0.003322483	Os01g0125600
LOC_Os01g03549	multi-copper oxidase type I family protein, putative, expressed	1.320963535	2.20042e-4	Os01g0126200
LOC_Os01g03640	multicopper oxidase domain containing protein, expressed	-0.951841005	2.38e-7	Os01g0127200
LOC_Os01g03690	TKL_IRAK_DUF26-lg.1 - DUF26 kinases have homology to DUF26 containing loci, expressed	2.541681289	1.65e-50	Os01g0127700
LOC_Os01g03710	mannose-6-phosphate isomerase, putative, expressed	0.787608331	0.037402203	Os01g0127900
LOC_Os01g03740	nuclease PA3, putative, expressed	3.591042655	2.51e-13	Os01g0128100
LOC_Os01g03870	expressed protein	-0.925177125	1.7e-7	Os01g0129500
LOC_Os01g03980	expressed protein	2.033585555	1.22e-5	Os01g0130900
LOC_Os01g04050	BBTI12 - Bowman-Birk type bran trypsin inhibitor precursor, expressed	1.594761204	2.02e-19	Os01g0132000
LOC_Os01g04120	ZOS1-03 - C2H2 zinc finger protein, expressed	-0.750056925	1.5e-5	Os01g0132766
LOC_Os01g04230	inactive receptor kinase At2g26730 precursor, putative, expressed	-0.980993397	0.007144726	Os01g0133900
LOC_Os01g04330	OsCML16 - Calmodulin-related calcium sensor protein, expressed	2.828806237	2.01e-40	Os01g0135700
LOC_Os01g04360	hsp20/alpha crystallin family protein, putative, expressed	4.225029473	0.002841317	Os01g0136000
LOC_Os01g04390	expressed protein	3.061668948	3.3e-9	Os01g0136300
LOC_Os01g04430	expressed protein	-1.314882493	0.016577408	Os01g0136501
LOC_Os01g04440	expressed protein	1.628388364	7.81769e-4	Os01g0136700
LOC_Os01g04490	Ser/Thr protein kinase, putative, expressed	1.739020978	2.29e-5	Os01g0137282
LOC_Os01g04530	expressed protein	0.627220522	0.01791937	Os01g0137600
LOC_Os01g04550	expressed protein	2.239235644	2.02e-6	Os01g0137950
LOC_Os01g04570	Ser/Thr protein kinase, putative, expressed	2.220442814	2.44e-5	Os01g0138300
LOC_Os01g04620	transposon protein, putative, unclassified, expressed	1.327998083	5.09e-15	Os01g0138800
LOC_Os01g04750	B3 DNA binding domain containing protein, expressed	1.824660513	0.013897237	Os01g0140700
LOC_Os01g04800	B3 DNA binding domain containing protein, expressed	2.005380048	2.68e-10	Os01g0141000
LOC_Os01g04860	DUF647 domain containing protein, putative, expressed	-0.598753996	0.0040299	Os01g0141600
LOC_Os01g04880	retrotransposon protein, putative, unclassified, expressed	-0.734078617	5.22e-5	Os01g0141900
LOC_Os01g04920	glycosyl transferase, group 1 domain containing protein, expressed	-0.969655367	1.46e-5	Os01g0142300
LOC_Os01g05100	expressed protein	5.428255589	0.032231136	Os01g0144300
LOC_Os01g05390	hypothetical protein	-2.347263174	0.040954283	NA
LOC_Os01g05410	expressed protein	-1.012971839	0.011969796	Os01g0147100
LOC_Os01g05420	IWS1 C-terminus family protein, putative, expressed	0.596960192	0.024535618	Os01g0147200
LOC_Os01g05630	Core histone H2A/H2B/H3/H4 domain containing protein, putative, expressed	-0.638005105	8.7073e-4	Os01g0149600
